ANAPHYLAXIS,SHUNT,TPR
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,HIGH,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,HIGH,HIGH
False,NORMAL,LOW
False,HIGH,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,HIGH,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,HIGH,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,HIGH,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,HIGH,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,HIGH,NORMAL
False,HIGH,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,HIGH,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,HIGH,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
True,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,HIGH,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,HIGH,HIGH
False,HIGH,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,HIGH,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,HIGH,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,HIGH,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,HIGH,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,HIGH,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,HIGH,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,HIGH,HIGH
False,NORMAL,HIGH
False,HIGH,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
True,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,HIGH,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,HIGH,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,HIGH,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,HIGH,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,HIGH,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,HIGH,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,HIGH,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,HIGH,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,HIGH,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,HIGH,LOW
False,NORMAL,NORMAL
False,HIGH,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,HIGH,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,HIGH,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,HIGH,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,HIGH,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,HIGH,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,HIGH,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,HIGH,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,HIGH,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,HIGH,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,HIGH
False,HIGH,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,HIGH,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,HIGH,HIGH
False,NORMAL,NORMAL
False,HIGH,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,HIGH,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,HIGH,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,HIGH,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
True,HIGH,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,HIGH,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,HIGH,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,HIGH,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,HIGH,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,HIGH,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,HIGH,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,HIGH,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
True,NORMAL,LOW
False,NORMAL,NORMAL
False,HIGH,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,HIGH,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,HIGH,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,HIGH,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,HIGH,LOW
False,HIGH,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,HIGH,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,HIGH
False,HIGH,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,HIGH,LOW
False,NORMAL,NORMAL
True,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,HIGH,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,HIGH,HIGH
False,NORMAL,HIGH
False,HIGH,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
True,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
True,HIGH,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
True,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,HIGH,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,HIGH,LOW
False,NORMAL,LOW
False,HIGH,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,HIGH,LOW
False,NORMAL,LOW
False,HIGH,NORMAL
False,HIGH,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,HIGH,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,HIGH,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,HIGH
False,HIGH,LOW
True,NORMAL,LOW
False,NORMAL,LOW
False,HIGH,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,HIGH,NORMAL
True,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,HIGH,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,HIGH,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,HIGH,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,HIGH,LOW
False,NORMAL,LOW
False,HIGH,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,HIGH,HIGH
False,NORMAL,HIGH
False,HIGH,NORMAL
False,NORMAL,HIGH
False,HIGH,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,HIGH,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,HIGH,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,HIGH,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,HIGH,LOW
False,HIGH,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,HIGH,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,HIGH,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,HIGH,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,HIGH,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,HIGH,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,HIGH,LOW
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,HIGH,LOW
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,HIGH
False,HIGH,HIGH
False,NORMAL,LOW
False,NORMAL,LOW
False,HIGH,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,HIGH,NORMAL
False,NORMAL,LOW
True,HIGH,LOW
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,HIGH
False,NORMAL,LOW
False,HIGH,HIGH
False,NORMAL,LOW
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,NORMAL,NORMAL
False,HIGH,HIGH
False,HIGH,NORMAL
False,NORMAL,NORMAL
False,NORMAL,LOW
False,NORMAL,HIGH
False,NORMAL,NORMAL
