HRBP,VENTMACH,VENTTUBE,INSUFFANESTH,EXPCO2,PVSAT,CO,MINVOL,HRSAT,HREKG,VENTALV,VENTLUNG,ARTCO2,HR
HIGH,NORMAL,LOW,True,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
NORMAL,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL,NORMAL,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,HIGH,HIGH,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,True,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,LOW,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,ZERO,ZERO,False,ZERO,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,NORMAL,NORMAL
HIGH,HIGH,HIGH,False,ZERO,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,LOW,NORMAL,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,True,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,HIGH,HIGH,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,HIGH,ZERO,False,LOW,LOW,HIGH,LOW,HIGH,HIGH,LOW,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,LOW,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
NORMAL,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,ZERO,ZERO,False,NORMAL,NORMAL,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,LOW,ZERO,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,True,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,HIGH,HIGH,False,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,ZERO,False,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,LOW,ZERO,HIGH,HIGH
HIGH,LOW,ZERO,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,True,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,HIGH,HIGH,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
NORMAL,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,ZERO,False,ZERO,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,NORMAL,HIGH
HIGH,NORMAL,LOW,True,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,HIGH,HIGH,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,True,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,LOW,ZERO,False,LOW,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,True,LOW,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL
HIGH,NORMAL,ZERO,False,LOW,HIGH,HIGH,HIGH,NORMAL,HIGH,HIGH,LOW,LOW,HIGH
LOW,ZERO,ZERO,False,LOW,LOW,LOW,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH
NORMAL,NORMAL,LOW,True,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,ZERO,NORMAL,False,HIGH,LOW,NORMAL,LOW,HIGH,HIGH,LOW,HIGH,HIGH,HIGH
HIGH,NORMAL,ZERO,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,HIGH,HIGH,False,LOW,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,LOW,LOW,HIGH,HIGH
HIGH,LOW,ZERO,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,LOW,ZERO,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,LOW,ZERO,False,LOW,LOW,NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,HIGH,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,ZERO,False,LOW,HIGH,HIGH,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
NORMAL,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,LOW,ZERO,False,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,NORMAL,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,ZERO,ZERO,False,ZERO,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,HIGH,LOW,HIGH,LOW,NORMAL,NORMAL,LOW,HIGH,HIGH,HIGH
HIGH,LOW,ZERO,True,LOW,LOW,HIGH,LOW,HIGH,HIGH,LOW,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,HIGH,LOW,HIGH,LOW,HIGH,HIGH,LOW,HIGH,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,ZERO,ZERO,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
NORMAL,LOW,ZERO,False,LOW,LOW,NORMAL,LOW,LOW,LOW,LOW,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,NORMAL,HIGH,HIGH,ZERO,HIGH,HIGH,LOW,LOW,HIGH,HIGH
HIGH,NORMAL,ZERO,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,True,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,ZERO,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,LOW,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,True,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,HIGH,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,LOW,ZERO,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,LOW,LOW,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,ZERO,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,HIGH,HIGH,True,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,LOW,ZERO,True,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,LOW,LOW,LOW,LOW,ZERO,HIGH,NORMAL
HIGH,ZERO,ZERO,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,False,LOW,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH
HIGH,NORMAL,ZERO,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
NORMAL,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,ZERO,False,LOW,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,ZERO,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,ZERO,False,LOW,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,LOW,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
LOW,HIGH,HIGH,False,LOW,HIGH,LOW,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,True,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,ZERO,ZERO,False,LOW,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,NORMAL
HIGH,NORMAL,LOW,True,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,HIGH,LOW,HIGH,LOW,HIGH,HIGH,LOW,HIGH,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,LOW,ZERO,False,ZERO,LOW,NORMAL,HIGH,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,LOW,LOW,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,LOW,ZERO,False,LOW,LOW,LOW,NORMAL,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,False,ZERO,HIGH,LOW,HIGH,LOW,LOW,HIGH,LOW,NORMAL,NORMAL
HIGH,HIGH,HIGH,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,LOW,LOW,HIGH,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,LOW,ZERO,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,ZERO,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,ZERO,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,True,NORMAL,LOW,HIGH,ZERO,NORMAL,HIGH,ZERO,LOW,HIGH,HIGH
LOW,ZERO,ZERO,False,LOW,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,LOW,ZERO,ZERO,HIGH,LOW
NORMAL,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,LOW,ZERO,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
NORMAL,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
NORMAL,ZERO,ZERO,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,ZERO,ZERO,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,LOW,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
NORMAL,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,ZERO,LOW,HIGH,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,ZERO,HIGH,NORMAL,ZERO,LOW,LOW,HIGH,ZERO,LOW,NORMAL
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL
HIGH,LOW,ZERO,True,ZERO,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,ZERO,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH
