BirthAsphyxia,CO2Report,CO2,LungParench
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
yes,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
yes,>=7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,>=7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,>=7.5,Normal,Normal
no,>=7.5,High,Normal
yes,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,>=7.5,High,Abnormal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Abnormal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,High,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,>=7.5,Normal,Normal
no,>=7.5,Normal,Congested
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
yes,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,>=7.5,Low,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,>=7.5,Normal,Normal
no,>=7.5,High,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Congested
no,>=7.5,High,Normal
no,<7.5,Low,Normal
yes,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
yes,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,>=7.5,Normal,Normal
no,>=7.5,High,Congested
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,>=7.5,High,Abnormal
no,>=7.5,High,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,>=7.5,High,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Abnormal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,>=7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,High,Abnormal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,>=7.5,High,Abnormal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Low,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
yes,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,>=7.5,High,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,>=7.5,Normal,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
yes,>=7.5,High,Normal
no,>=7.5,High,Normal
yes,>=7.5,High,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,>=7.5,High,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,>=7.5,Low,Normal
no,>=7.5,High,Congested
no,<7.5,Normal,Abnormal
no,>=7.5,Normal,Abnormal
no,<7.5,Normal,Normal
yes,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Congested
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Low,Normal
no,<7.5,Low,Normal
no,>=7.5,High,Congested
no,<7.5,Normal,Abnormal
no,>=7.5,High,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,High,Abnormal
no,>=7.5,High,Abnormal
no,>=7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
yes,>=7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,>=7.5,High,Normal
yes,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,>=7.5,High,Normal
no,>=7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,>=7.5,Normal,Normal
no,<7.5,Low,Normal
yes,<7.5,Normal,Abnormal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Congested
no,>=7.5,High,Abnormal
no,>=7.5,High,Congested
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
yes,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,>=7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Abnormal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Low,Congested
no,<7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Congested
no,<7.5,Low,Abnormal
no,<7.5,Normal,Normal
yes,>=7.5,Normal,Abnormal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Abnormal
yes,>=7.5,High,Normal
no,>=7.5,High,Abnormal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
yes,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Low,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,>=7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,<7.5,High,Congested
yes,>=7.5,High,Abnormal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,High,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Congested
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Congested
yes,<7.5,Normal,Abnormal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,>=7.5,High,Abnormal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Low,Congested
no,>=7.5,Normal,Normal
no,<7.5,Low,Congested
yes,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,>=7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,>=7.5,Normal,Abnormal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Abnormal
no,>=7.5,High,Abnormal
no,>=7.5,High,Congested
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,>=7.5,High,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,>=7.5,High,Normal
no,>=7.5,High,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,High,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
yes,>=7.5,High,Abnormal
no,>=7.5,High,Congested
yes,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Congested
no,<7.5,Normal,Normal
yes,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Abnormal
no,<7.5,Normal,Normal
yes,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
yes,>=7.5,High,Abnormal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,>=7.5,High,Abnormal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,>=7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,>=7.5,High,Congested
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,High,Congested
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
yes,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,>=7.5,High,Abnormal
no,>=7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,High,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,>=7.5,High,Abnormal
no,>=7.5,High,Abnormal
no,<7.5,High,Abnormal
no,<7.5,Normal,Congested
no,<7.5,High,Abnormal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,High,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
yes,>=7.5,High,Normal
no,>=7.5,High,Normal
no,>=7.5,High,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,>=7.5,High,Congested
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,>=7.5,High,Abnormal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,>=7.5,High,Abnormal
no,>=7.5,High,Abnormal
yes,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
yes,<7.5,Normal,Normal
no,>=7.5,High,Congested
no,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,>=7.5,Normal,Congested
no,>=7.5,Normal,Congested
no,>=7.5,High,Abnormal
yes,<7.5,Low,Normal
no,<7.5,Normal,Congested
no,<7.5,Low,Normal
no,>=7.5,High,Abnormal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,>=7.5,High,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
yes,<7.5,Low,Normal
no,<7.5,Normal,Normal
yes,<7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,>=7.5,High,Normal
no,<7.5,Low,Normal
yes,>=7.5,Normal,Abnormal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Abnormal
no,>=7.5,High,Abnormal
yes,<7.5,Low,Normal
no,>=7.5,High,Normal
no,>=7.5,High,Normal
no,>=7.5,High,Abnormal
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
yes,>=7.5,High,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
yes,>=7.5,High,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,<7.5,Low,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Congested
no,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Congested
no,>=7.5,High,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
yes,<7.5,Normal,Congested
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,>=7.5,High,Normal
no,<7.5,Low,Abnormal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,>=7.5,High,Abnormal
no,>=7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,<7.5,High,Normal
no,<7.5,Normal,Abnormal
no,<7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,>=7.5,High,Abnormal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,>=7.5,High,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,Low,Normal
no,<7.5,Normal,Normal
yes,>=7.5,High,Congested
no,<7.5,Normal,Normal
yes,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,>=7.5,High,Congested
no,<7.5,Normal,Normal
no,<7.5,High,Abnormal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Congested
no,<7.5,Low,Congested
no,<7.5,High,Abnormal
no,<7.5,Normal,Congested
no,>=7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,>=7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,High,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,>=7.5,High,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Abnormal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,High,Congested
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Abnormal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Low,Normal
no,<7.5,Low,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Congested
no,<7.5,Normal,Congested
no,>=7.5,High,Normal
no,>=7.5,High,Abnormal
no,>=7.5,High,Abnormal
no,<7.5,Low,Normal
no,>=7.5,High,Abnormal
no,>=7.5,Low,Normal
no,>=7.5,Normal,Normal
no,>=7.5,High,Abnormal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,<7.5,Normal,Congested
yes,<7.5,Normal,Normal
no,>=7.5,Low,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Congested
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
no,<7.5,Normal,Abnormal
no,<7.5,Normal,Normal
yes,>=7.5,High,Abnormal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,>=7.5,Normal,Normal
yes,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
yes,>=7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Normal,Normal
no,<7.5,Low,Normal
