CO2Report,CO2,DuctFlow,LVH,LVHreport,LungParench
>=7.5,High,,no,no,Normal
<7.5,Normal,,no,no,Congested
<7.5,Normal,Lt_to_Rt,yes,no,Abnormal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Normal
<7.5,Low,,no,no,Congested
<7.5,Normal,Rt_to_Lt,no,no,Abnormal
>=7.5,High,Rt_to_Lt,no,no,Normal
<7.5,Normal,,yes,yes,Normal
>=7.5,High,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Normal
>=7.5,Normal,,no,no,Normal
>=7.5,High,Rt_to_Lt,no,no,Abnormal
<7.5,Low,,no,no,Congested
<7.5,Normal,Lt_to_Rt,no,no,Congested
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Low,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
>=7.5,High,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,yes,Normal
<7.5,Normal,,no,no,Abnormal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Rt_to_Lt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Low,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Rt_to_Lt,no,yes,Abnormal
<7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,High,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Low,Lt_to_Rt,no,no,Normal
>=7.5,High,Rt_to_Lt,no,no,Abnormal
<7.5,Normal,,no,no,Abnormal
>=7.5,High,Lt_to_Rt,yes,yes,Abnormal
>=7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,Normal,,no,no,Congested
<7.5,Normal,,no,no,Normal
<7.5,Normal,,no,no,Congested
>=7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
>=7.5,High,,no,no,Abnormal
<7.5,Low,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Low,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Abnormal
<7.5,High,Lt_to_Rt,yes,yes,Normal
>=7.5,High,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Congested
<7.5,Normal,Lt_to_Rt,yes,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Congested
<7.5,Normal,,yes,yes,Normal
>=7.5,High,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Rt_to_Lt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Abnormal
<7.5,Normal,,no,no,Congested
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Congested
<7.5,Normal,,no,no,Normal
<7.5,Low,,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,no,Normal
>=7.5,High,,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Low,Lt_to_Rt,no,no,Normal
>=7.5,High,Lt_to_Rt,yes,yes,Abnormal
<7.5,Normal,,no,yes,Congested
>=7.5,High,Lt_to_Rt,yes,yes,Abnormal
>=7.5,High,Lt_to_Rt,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
>=7.5,High,,no,no,Abnormal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,High,,no,no,Abnormal
>=7.5,High,,yes,yes,Congested
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Low,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,High,Rt_to_Lt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,yes,yes,Normal
>=7.5,High,,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,High,,no,no,Normal
>=7.5,High,Lt_to_Rt,no,no,Normal
<7.5,Normal,Rt_to_Lt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,yes,Abnormal
<7.5,Normal,Lt_to_Rt,no,no,Abnormal
<7.5,Low,Rt_to_Lt,no,no,Normal
<7.5,Normal,,no,no,Normal
>=7.5,High,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,yes,yes,Normal
<7.5,Normal,,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,High,Lt_to_Rt,no,no,Normal
>=7.5,High,,no,no,Abnormal
<7.5,Low,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Normal
>=7.5,High,,no,no,Congested
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,High,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,High,,yes,yes,Abnormal
<7.5,Normal,,no,yes,Abnormal
>=7.5,High,,yes,yes,Abnormal
<7.5,High,Lt_to_Rt,no,no,Congested
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Rt_to_Lt,no,no,Normal
>=7.5,High,Rt_to_Lt,no,no,Abnormal
>=7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Rt_to_Lt,no,no,Congested
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Rt_to_Lt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Congested
>=7.5,High,Lt_to_Rt,no,no,Abnormal
<7.5,Normal,,no,no,Normal
>=7.5,Normal,,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,Normal,Rt_to_Lt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Abnormal
<7.5,Normal,,no,yes,Abnormal
>=7.5,High,Lt_to_Rt,no,no,Abnormal
<7.5,High,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,High,,no,no,Abnormal
<7.5,Low,Lt_to_Rt,no,yes,Normal
>=7.5,Normal,,no,no,Normal
<7.5,Normal,,no,no,Normal
>=7.5,High,Rt_to_Lt,no,no,Abnormal
>=7.5,High,Lt_to_Rt,no,no,Normal
>=7.5,High,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,Normal,Rt_to_Lt,no,no,Abnormal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Rt_to_Lt,no,no,Normal
>=7.5,High,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Rt_to_Lt,no,no,Congested
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Low,Lt_to_Rt,no,no,Normal
>=7.5,Normal,,yes,yes,Normal
>=7.5,Normal,Rt_to_Lt,no,no,Abnormal
>=7.5,High,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Normal
>=7.5,High,Lt_to_Rt,no,yes,Congested
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,High,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Abnormal
<7.5,Normal,Lt_to_Rt,no,no,Congested
<7.5,Normal,Lt_to_Rt,yes,no,Normal
<7.5,Normal,,no,no,Congested
<7.5,Normal,Lt_to_Rt,no,no,Congested
<7.5,Normal,,no,no,Abnormal
<7.5,Normal,,no,no,Congested
<7.5,Normal,,no,no,Normal
<7.5,High,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,High,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,High,,no,no,Congested
>=7.5,High,Lt_to_Rt,yes,yes,Abnormal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,yes,Normal
>=7.5,High,Lt_to_Rt,no,no,Congested
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,High,,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,yes,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Abnormal
>=7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,Normal,Lt_to_Rt,no,yes,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Normal
>=7.5,High,,no,no,Congested
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,Normal,,yes,yes,Abnormal
<7.5,Low,Lt_to_Rt,no,no,Normal
>=7.5,Normal,,yes,yes,Normal
>=7.5,High,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Congested
<7.5,Normal,Lt_to_Rt,no,no,Congested
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Rt_to_Lt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Low,,no,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Congested
>=7.5,High,Lt_to_Rt,no,no,Congested
<7.5,Normal,,yes,yes,Congested
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Low,,no,no,Normal
>=7.5,High,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Normal
>=7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Abnormal
<7.5,Normal,,no,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Abnormal
>=7.5,High,Lt_to_Rt,no,no,Abnormal
<7.5,Low,,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Rt_to_Lt,no,no,Congested
<7.5,Low,Rt_to_Lt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,yes,yes,Abnormal
>=7.5,High,,no,no,Congested
<7.5,Normal,Rt_to_Lt,no,no,Congested
<7.5,Normal,Lt_to_Rt,no,no,Abnormal
<7.5,Normal,,no,no,Normal
>=7.5,High,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Rt_to_Lt,no,no,Normal
>=7.5,High,Lt_to_Rt,yes,yes,Normal
>=7.5,High,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Rt_to_Lt,no,no,Normal
>=7.5,High,,no,no,Abnormal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Abnormal
<7.5,Normal,Rt_to_Lt,yes,no,Congested
>=7.5,Normal,,no,no,Abnormal
<7.5,Normal,,no,no,Abnormal
>=7.5,High,Lt_to_Rt,no,no,Abnormal
>=7.5,High,Lt_to_Rt,yes,yes,Abnormal
<7.5,Normal,,no,no,Normal
<7.5,Normal,,no,no,Normal
>=7.5,High,Lt_to_Rt,no,yes,Abnormal
<7.5,Normal,,no,yes,Congested
>=7.5,High,Lt_to_Rt,yes,yes,Normal
>=7.5,High,Lt_to_Rt,no,no,Abnormal
>=7.5,High,,no,no,Abnormal
<7.5,Normal,Rt_to_Lt,no,no,Normal
>=7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,High,,yes,yes,Abnormal
<7.5,High,Lt_to_Rt,no,no,Normal
>=7.5,High,Lt_to_Rt,yes,yes,Abnormal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Rt_to_Lt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,High,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Rt_to_Lt,no,yes,Congested
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,Normal,Lt_to_Rt,yes,yes,Abnormal
<7.5,Normal,,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,High,,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Low,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Low,Rt_to_Lt,no,no,Abnormal
<7.5,Normal,,no,no,Normal
>=7.5,High,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,Normal,Rt_to_Lt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Congested
<7.5,Low,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,High,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,Normal,Rt_to_Lt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,yes,Normal
<7.5,Low,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,High,,no,no,Abnormal
<7.5,Normal,,no,no,Normal
<7.5,Low,Lt_to_Rt,no,no,Normal
>=7.5,High,Lt_to_Rt,yes,yes,Normal
>=7.5,High,,yes,yes,Normal
>=7.5,Normal,Rt_to_Lt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,High,Lt_to_Rt,yes,no,Abnormal
>=7.5,Normal,Lt_to_Rt,yes,yes,Abnormal
>=7.5,High,Lt_to_Rt,yes,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,Normal,,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Normal
>=7.5,High,,no,no,Normal
>=7.5,High,,no,no,Abnormal
<7.5,Normal,Rt_to_Lt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Abnormal
<7.5,Normal,Rt_to_Lt,no,no,Congested
>=7.5,High,,no,no,Congested
>=7.5,High,,no,no,Abnormal
>=7.5,Normal,Lt_to_Rt,yes,yes,Abnormal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Low,Rt_to_Lt,no,no,Abnormal
<7.5,Normal,Rt_to_Lt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Abnormal
<7.5,Normal,,no,no,Normal
<7.5,High,Rt_to_Lt,no,no,Abnormal
<7.5,Low,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Abnormal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
>=7.5,High,Lt_to_Rt,no,no,Normal
>=7.5,High,,yes,yes,Congested
<7.5,High,Lt_to_Rt,no,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Normal
>=7.5,High,Lt_to_Rt,yes,yes,Abnormal
<7.5,Normal,,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Rt_to_Lt,no,no,Congested
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,High,Lt_to_Rt,no,no,Congested
<7.5,Normal,,no,no,Congested
>=7.5,High,,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,High,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Abnormal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Abnormal
>=7.5,High,Lt_to_Rt,yes,yes,Normal
>=7.5,High,Rt_to_Lt,no,no,Abnormal
<7.5,Normal,Rt_to_Lt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,no,Abnormal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,Normal,Rt_to_Lt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,High,Lt_to_Rt,no,no,Abnormal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Rt_to_Lt,no,no,Normal
<7.5,High,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Abnormal
<7.5,Low,,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Rt_to_Lt,no,no,Abnormal
<7.5,Low,Lt_to_Rt,yes,yes,Normal
>=7.5,High,,no,no,Congested
<7.5,Normal,,yes,yes,Abnormal
>=7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,yes,yes,Normal
<7.5,Normal,,no,no,Abnormal
>=7.5,High,Rt_to_Lt,no,no,Abnormal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,High,Rt_to_Lt,no,no,Abnormal
>=7.5,High,,no,no,Congested
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Congested
>=7.5,Normal,Lt_to_Rt,no,no,Congested
<7.5,Normal,,no,no,Abnormal
<7.5,Normal,,no,no,Abnormal
>=7.5,High,Lt_to_Rt,no,no,Congested
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Rt_to_Lt,no,no,Abnormal
<7.5,Normal,,no,no,Normal
<7.5,Low,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Congested
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,High,Rt_to_Lt,no,no,Congested
<7.5,Normal,,yes,yes,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Low,,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,High,Rt_to_Lt,no,no,Congested
<7.5,Normal,Lt_to_Rt,no,no,Congested
>=7.5,High,Lt_to_Rt,no,no,Congested
<7.5,Normal,Lt_to_Rt,no,no,Abnormal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,High,Lt_to_Rt,yes,yes,Abnormal
>=7.5,High,Lt_to_Rt,yes,yes,Normal
>=7.5,High,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Abnormal
>=7.5,High,Rt_to_Lt,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,yes,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,High,Lt_to_Rt,no,no,Normal
>=7.5,High,,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
>=7.5,Normal,,no,no,Normal
<7.5,Normal,Rt_to_Lt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Abnormal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Normal
>=7.5,High,Lt_to_Rt,no,no,Abnormal
>=7.5,Normal,,no,yes,Normal
>=7.5,High,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Abnormal
<7.5,Normal,,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,High,Lt_to_Rt,yes,yes,Abnormal
<7.5,Low,Rt_to_Lt,no,no,Abnormal
>=7.5,High,Rt_to_Lt,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,yes,yes,Abnormal
<7.5,Normal,Lt_to_Rt,no,yes,Normal
>=7.5,High,,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,yes,yes,Abnormal
>=7.5,High,Rt_to_Lt,no,no,Congested
<7.5,Normal,Rt_to_Lt,no,no,Normal
<7.5,Low,Lt_to_Rt,no,no,Normal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Low,Lt_to_Rt,no,yes,Normal
>=7.5,High,,yes,yes,Normal
<7.5,Low,Lt_to_Rt,no,no,Congested
>=7.5,High,Lt_to_Rt,no,no,Abnormal
>=7.5,High,Lt_to_Rt,yes,yes,Congested
<7.5,Low,Lt_to_Rt,no,no,Normal
<7.5,Low,Lt_to_Rt,yes,yes,Abnormal
>=7.5,Normal,Rt_to_Lt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,yes,Normal
>=7.5,High,,no,no,Normal
<7.5,Normal,,yes,no,Normal
>=7.5,Low,Lt_to_Rt,yes,yes,Abnormal
<7.5,Normal,Rt_to_Lt,no,no,Congested
<7.5,Normal,Lt_to_Rt,no,no,Abnormal
<7.5,Normal,,no,no,Normal
>=7.5,High,Rt_to_Lt,no,no,Congested
<7.5,Normal,Lt_to_Rt,no,yes,Normal
>=7.5,High,Lt_to_Rt,no,no,Normal
>=7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Abnormal
<7.5,Normal,Lt_to_Rt,yes,no,Normal
<7.5,High,Rt_to_Lt,no,no,Congested
<7.5,High,,no,no,Congested
<7.5,Normal,Lt_to_Rt,yes,no,Normal
>=7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
>=7.5,Low,Lt_to_Rt,yes,yes,Normal
<7.5,Low,,yes,yes,Normal
>=7.5,High,Rt_to_Lt,no,no,Abnormal
<7.5,Normal,,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Lt_to_Rt,no,no,Normal
<7.5,Normal,Rt_to_Lt,no,no,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,Lt_to_Rt,yes,yes,Normal
<7.5,Normal,,no,no,Normal
>=7.5,High,Lt_to_Rt,no,yes,Abnormal
<7.5,Normal,,no,no,Normal
